LRT,SW7,Tongkang,1.389464504,103.8858144
LRT,PE,Punggol,1.405038569,103.9023001
LRT,PE1,Cove,1.399466766,103.905805
LRT,PE2,Meridian,1.396972731,103.9088929
LRT,PE3,Coral Edge,1.39384447,103.9126383
LRT,PE4,Rivera,1.394463845,103.9160554
LRT,PE5,Kadaloor,1.399547337,103.9165492
LRT,PE6,Oasis,1.402300479,103.9127505
LRT,PE7,Damai,1.405264975,103.9086213
LRT,PW,Punggol,1.405038569,103.9023001
LRT,PW1,Sam Kee,1.409722936,103.9048857
LRT,PW2,Teck Lee,1.412786084,103.9065471
LRT,PW3,Punggol Point,1.416870441,103.9066559
LRT,PW4,Samudera,1.415925172,103.9021832
LRT,PW5,Nibong,1.411828395,103.9003963
LRT,PW6,Sumang,1.408519531,103.898509
LRT,PW7,Soo Teck,1.405347868,103.8972873
Sentosa Monorail,S1,VivoCity,1.26503273,103.822661
Sentosa Monorail,S2,Resorts World,1.255508506,103.8209195
Sentosa Monorail,S3,Imbiah,1.25390095,103.8194154
Sentosa Monorail,S4,Beach,1.251317134,103.8177407
MRT,CC1,Dhoby Ghaut,1.299080039,103.8459088
MRT,CC2,Bras Basah,1.297032829,103.8507203
MRT,CC3,Esplanade,1.293568881,103.8551937
MRT,CC4,Promenade,1.292705428,103.8608549
MRT,CC5,Nicoll Highway,1.29975932,103.8635605
MRT,CC6,Stadium,1.302800814,103.8754124
MRT,CC7,Mountbatten,1.306234749,103.8826058
MRT,CC8,Dakota,1.308326148,103.8883975
MRT,CC9,Paya Lebar,1.317395671,103.8921567
MRT,CC10,MacPherson,1.326395716,103.8903439
MRT,CC11,Tai Seng,1.336130523,103.8879017
MRT,CC12,Bartley,1.343550653,103.8785149
MRT,CC13,Serangoon,1.350581792,103.8723048
MRT,CC14,Lorong Chuan,1.351700865,103.8642797
MRT,CC15,Bishan,1.351200718,103.8492777
MRT,CC16,Marymount,1.348919456,103.8394586
MRT,CC17,Caldecott,1.337813873,103.8395835
MRT,CC19,Botanic Gardens,1.322201243,103.8148963
MRT,CC20,Farrer Road,1.317437456,103.8075261
MRT,CC21,Holland Village,1.312239318,103.7962599
MRT,CC22,Buona Vista,1.306285523,103.7906231
MRT,CC23,one-north,1.299740124,103.7873534
MRT,CC24,Kent Ridge,1.293451782,103.7844978
MRT,CC25,Haw Par Villa,1.282778188,103.7816014
MRT,CC26,Pasir Panjang,1.276179934,103.7912765
MRT,CC27,Labrador Park,1.272402312,103.8029812
MRT,CC28,Telok Blangah,1.270787949,103.8098693
MRT,CC29,Harbourfront,1.265366393,103.8226261
